R;ADC;T
995.29;361;99.36;
998.04;362;99.81;
995.29;361;99.36;
998.04;362;99.81;
1000.80;363;100.26;
1000.80;363;100.26;
1006.32;365;101.16;
1000.80;363;100.26;
1000.80;363;100.26;
1006.32;365;101.16;
1003.56;364;100.71;
1006.32;365;101.16;
1009.07;366;101.61;
1009.07;366;101.61;
1014.59;368;102.51;
1009.07;366;101.61;
1014.59;368;102.51;
1014.59;368;102.51;
1017.34;369;102.95;
1020.10;370;103.40;
1022.86;371;103.84;
1020.10;370;103.40;
1020.10;370;103.40;
1020.10;370;103.40;
1022.86;371;103.84;
1025.62;372;104.29;
1025.62;372;104.29;
1025.62;372;104.29;
1025.62;372;104.29;
1028.37;373;104.73;
1031.13;374;105.18;
1028.37;373;104.73;
1031.13;374;105.18;
1033.89;375;105.62;
1031.13;374;105.18;
1039.40;377;106.50;
1033.89;375;105.62;
1036.64;376;106.06;
1039.40;377;106.50;
1039.40;377;106.50;
1039.40;377;106.50;
1042.16;378;106.94;
1039.40;377;106.50;
1042.16;378;106.94;
1042.16;378;106.94;
1044.91;379;107.38;
1047.67;380;107.82;
1044.91;379;107.38;
1044.91;379;107.38;
1050.43;381;108.25;
1050.43;381;108.25;
1047.67;380;107.82;
1053.19;382;108.69;
1055.94;383;109.13;
1058.70;384;109.56;
1055.94;383;109.13;
1058.70;384;109.56;
1058.70;384;109.56;
1058.70;384;109.56;
1064.21;386;110.43;
1061.46;385;110.00;
1064.21;386;110.43;
1066.97;387;110.87;
1066.97;387;110.87;
1066.97;387;110.87;
1075.24;390;112.16;
1069.73;388;111.30;
1069.73;388;111.30;
1072.48;389;111.73;
1069.73;388;111.30;
1078.00;391;112.60;
1075.24;390;112.16;
1072.48;389;111.73;
1078.00;391;112.60;
1080.76;392;113.03;
1083.51;393;113.46;
1083.51;393;113.46;
1080.76;392;113.03;
1091.78;396;114.74;
1086.27;394;113.88;
1091.78;396;114.74;
1086.27;394;113.88;
1089.03;395;114.31;
1089.03;395;114.31;
1091.78;396;114.74;
1089.03;395;114.31;
1097.30;398;115.59;
1091.78;396;114.74;
1091.78;396;114.74;
1097.30;398;115.59;
